row_id,text,true_label,true_label_enc,challenge_type,dataset
0,<USER> cleaning a regional jet takes an hour?,negative,0,emoji_heavy,D2
1,"<USER> again HORRIBLE service, again attitude when asked for information, again you make me not want to fly UNITED ever. #platinummember",negative,0,negation|emoji_heavy,D2
2,<USER> I can legitimately say that I would have rather driven cross country than flown on US Airways.,negative,0,emoji_heavy,D2
3,<USER> Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat.,negative,0,emoji_heavy,D2
4,<USER> is there another line I can call when I am on hold for 5 hours? Also how can I get compensated for this loss of time and money?,negative,0,emoji_heavy,D2
5,<USER> where is it coming from? I thought Tampa?,negative,0,emoji_heavy,D2
6,<USER> soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),negative,0,emoji_heavy,D2
7,<USER> I am trying to change the time of a flight I already purchased and was told I have to pay a $400 change fee. Ridiculous.,negative,0,emoji_heavy,D2
8,<USER> yes I did thank you! They did a great job turning the flight in jan !,positive,2,emoji_heavy,D2
9,<USER> flight for tomorrow morning Cancelled Flighted &amp; can't seem to rebook me. They can't even get me a seat. No clear answer on why Cancelled Flighted.,negative,0,negation|emoji_heavy,D2
10,<USER> #NoService good luck trying to reach a human! Twice sat on hold for over 50 mins... #neveragain,negative,0,hashtag_heavy|emoji_heavy,D2
11,"<USER> spending my birthday night with you, DAL-DCA. Get me home!",negative,0,emoji_heavy,D2
12,<USER> would it kill you to let me know how many minutes I might be on hold?,negative,0,emoji_heavy,D2
13,<USER> Oh I will. #Disney bound. #workhard #playsoon,neutral,1,hashtag_heavy|emoji_heavy,D2
14,<USER> dispatcher keeps yelling and hung up on me!,negative,0,emoji_heavy,D2
15,<USER> Joni did a great job on flight 5653 to LAX. Thanks for a great flight.,positive,2,emoji_heavy,D2
16,<USER> Understood. Thanks anyway,positive,2,emoji_heavy|short_ambiguous,D2
17,<USER> checking into a flight on your website is about as easy as asking a bear to shit in a toilet #justsaying,neutral,1,emoji_heavy,D2
18,<USER> That will be the third time I have been called by 800-433-7300 an hung on before anyone speaks. What do I do now???,negative,0,emoji_heavy,D2
19,<USER> Many thanks for your reply! <URL>,positive,2,emoji_heavy,D2
20,<USER> Everyone is sorry. Don't have what I need for meeting tomorrow. 140 charac. isn't nearly enough to highlight your shortcomings,negative,0,emoji_heavy,D2
21,<USER> worst customer service experience ever today. Get it together.,negative,0,emoji_heavy,D2
22,<USER> next time you promise an ontime departure you should stick to it instead of stuffing us in this sweat box with no air,negative,0,negation|emoji_heavy,D2
23,<USER> we can't all be american airlines I suppose... <URL>,negative,0,emoji_heavy,D2
24,<USER> so was there a winner for #DestinationDragons ???,neutral,1,emoji_heavy,D2
25,"<USER> My chariot tonight. From this angle it looks like a 787, no? <URL>",neutral,1,negation|emoji_heavy,D2
26,"<USER>, what do you know? Finally lined up like cattle to board my SW flight (after original departure time) #badcustomerservice",negative,0,emoji_heavy,D2
27,<USER> we appreciate auto rescheduling our Cancelled Flightled flight-- but you have nothing sooner than Tuesday? can fly into alternate loc?,negative,0,emoji_heavy,D2
28,.<USER> in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.,negative,0,emoji_heavy,D2
29,<USER> give me tickets to the atlanta show and I'll roadtrip from Canada!! Deal? 😆,neutral,1,emoji_heavy,D2
30,<USER> <USER> trying to speak with an agent about my flight to London tonight but can't get anyone from AA. Can you help?,negative,0,emoji_heavy,D2
31,<USER> cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! <URL>,positive,2,emoji_heavy,D2
32,<USER> As a Million Miler I've been delayed plenty. NEVER in the amateurish way<USER> does it. I'd be embarrassed to be affiliated.,negative,0,negation|emoji_heavy,D2
33,"<USER> we're on AA1401 landed at 8:55pm in Miami, but waiting for a gate. Can someone on your team help us out?!",negative,0,emoji_heavy,D2
34,"<USER> Currently on UA862, 20 minutes of the worst turbulence I've ever experienced, and ZERO communication from the flight deck.",negative,0,emoji_heavy,D2
35,<USER> you're my early frontrunner for best airline! #oscars2016,positive,2,emoji_heavy,D2
36,<USER> the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...,negative,0,emoji_heavy,D2
37,"<USER> you bet make this screw up right (for once). Things I need in bag for my job and you have ""grounded"" me today #painandsuffering",negative,0,emoji_heavy,D2
38,<USER> I don't need to make any changes. I reserved my seats when I bought my tickets and there was an error &amp; now there are no comp seats,negative,0,negation|emoji_heavy,D2
39,"<USER> Yeah, try harder. No catering truck in sight. Can we just leave now w/o the food won't eat anyway?",negative,0,negation|emoji_heavy,D2
40,<USER> I need help about a ticket. DM me,neutral,1,emoji_heavy,D2
41,<USER> your airline also delayed our bags to us for 4 hours &amp; refused to ship them to our local airport #disappointed #stillbagless,negative,0,hashtag_heavy|emoji_heavy,D2
42,<USER> hi! I just bought a flight with united through ebokeers from Paris to Miami. Do I have any chance to check that everything is ok?,neutral,1,emoji_heavy,D2
43,<USER> Cancelled Flighted and rescheduled. said I'd have to pay $75 for earlier flight at next gate. Today <USER> proactively offered same for $0,negative,0,emoji_heavy,D2
44,<USER> Doesn't have to be same flight 2 and 2 will work also,neutral,1,emoji_heavy,D2
45,<USER> not an issue but I think training &amp; information would help. Great ppl but service needs to switch from individual to group better,negative,0,negation|emoji_heavy,D2
46,<USER> my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,negative,0,emoji_heavy,D2
47,<USER> your pple did a great job w the madness however some of your systems need help. I appreciate the hard work &amp; the push to b better,positive,2,emoji_heavy,D2
48,"<USER> oh I will, AA on speed dial",neutral,1,emoji_heavy,D2
49,<USER> I will thank you!,positive,2,emoji_heavy,D2
50,<USER> no my flight plans have been delayed until tuesday due to your computer crash,negative,0,negation|emoji_heavy,D2
51,"<USER> I can’t go back to the airport, I’m working, and won’t have time. Are you telling me there is seriously no other way?",negative,0,negation|emoji_heavy,D2
52,<USER> amen!,neutral,1,emoji_heavy|short_ambiguous,D2
53,<USER> Got help from a nice lady on the phone in Georgia. Thank you!,positive,2,emoji_heavy,D2
54,<USER> is there a referral program for the Milageplus explorer card?,neutral,1,emoji_heavy,D2
55,<USER> How is it possible the only way to contact your fraud department is mailing a physical letter? No telephone? No email? REALLY??,negative,0,negation|emoji_heavy,D2
56,“<USER>: Our fleet's on fleek. <URL> #foh,neutral,1,emoji_heavy,D2
57,<USER> will do! #heart #flying,neutral,1,hashtag_heavy|emoji_heavy,D2
58,.<USER> received an error online and have been on hold for over 1.5 hours. Completely unacceptable.,negative,0,emoji_heavy,D2
59,<USER> I wrote down the evoucher number. I got rid of the voucher when I purchased air fair,neutral,1,emoji_heavy,D2
60,<USER> good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! <URL>,positive,2,emoji_heavy,D2
61,<USER> experience exceptional service from Cherry at #DenverAirport. #GreatService. #professionalism,positive,2,hashtag_heavy|emoji_heavy,D2
62,<USER> Kudos to bag handler at DTW gate 21 at 7:10 pm. Ran to keep bags from hitting ground in 9 degree temp! <URL>,negative,0,emoji_heavy,D2
63,"<USER> trying to change my flight and you just hang up on ppl bc call volume is high. That's a joke, right?",negative,0,emoji_heavy,D2
64,<USER> after 4 hours of delays you did make a nice offer for rescheduling me the next day... but...,negative,0,emoji_heavy,D2
65,"<USER> first you had a good idea thatthis would happen and did not Cancelled Flight it earlier, then very amateurish that there was no plan.",negative,0,negation|emoji_heavy,D2
66,“<USER>: Our fleet's on fleek. <URL> <USER> new fav airline,positive,2,emoji_heavy,D2
67,<USER> ...and how does one obtain this companion pass?,neutral,1,emoji_heavy,D2
68,<USER> unhappy with your new mileage rules :( - was my main reason to keep flying united. Will have to take my business elsewhere,negative,0,emoji_heavy,D2
69,<USER> I figured the streaming wouldn't work per the TOS but just the <USER> site is taking longer than 5 minutes to load,negative,0,emoji_heavy,D2
